notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
4/27/2020,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Western Region locations,Erie County,(813) 282-1225,Restaurant,289,289,3/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Southern Region locations,Broome/Chemung County,(813) 282-1225,Restaurant,154,154,3/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple New York City locations,New York/Richmond/Queens/Kings/Bronx County,(813) 282-1225,Restaurant,447,447,3/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Mid-Hudson locations,Westchester/Dutchess/Rockland/Orange County,(813) 282-1225,Restaurant,393,393,3/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/27/2020,Temporary Plant Closing,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Multiple Long Island Region locations,Nassau /Suffolk County,(813) 282-1225,Restaurant,696,696,3/15/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
5/1/2020,Temporary Plant Layoff,"LH Employment Services, LLC",(4 NYC sites),New York County,(212) 244-8866,Restaurant,274,274,5/1/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/28/2020,Temporary Plant Layoff,Enterprise Holdings,"4200 Genesee St. Buffalo, NY 14225",Erie County,(919) 896-9192,Car Rental,93,0,3/23/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/28/2020,Plant Layoff,Enterprise Holdings,"4200 Genesee St. Buffalo, NY 14225",Erie County,(585) 235-2999 Ext,Car Rental,18,0,4/30/2020,COVID-19,The employees are not represented by a union,Plant Layoff
4/28/2020,Temporary Plant Layoff,Enterprise Holdings,"1300 Brooks Avenue Rochester, NY 14624",Monroe County,(919) 896-9192,Car Rental,169,0,3/23/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/28/2020,Plant Layoff,Enterprise Holdings,"1300 Brooks Avenue Rochester, NY 14624",Monroe County,(585) 235-2999 Ext,Car Rental,4,0,4/30/2020,COVID-19,The employees are not represented by a union,Plant Layoff
4/28/2020,Temporary Plant Layoff,TripAdvisor LLC and Smarter Travel Media,"330 Hudson Street New York, NY 10013",New York County,(781) 800-5341,Travel Agency,52,0,5/5/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/6/2020,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Mohawk Valley Region locations,Montgomery/Schoharie/Oneida/Fulton/Madison County,(607) 273-1526 ext. 2329,Family planning services,14,0,These,COVID-19,SEIU/1199,Plant Layoff
4/29/2020,Temporary Plant Layoff,"Lyft, Inc.","441 9th Avenue, Floor 2 New York, NY 10001",New York County,(415) 504-2812,Transportation,53,0,5/8/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/28/2020,Plant Layoff,"RTW Retailwinds, Inc.","330 West 34th Street New York, NY 10001",New York County,(212) 884-2030,Retail,192,0,5/2/2020,COVID-19,The employees are not represented by a union,Plant Layoff
4/27/2020,Temporary Layoff,"USM, Inc.","1700 Markley St., Suite 100 Norristown, PA 19401",New York County,(610) 313-2671,Janitorial Services,38,0,3/30/2020,COVID-19,The employees are not represented by a union,Temporary Layoff
4/6/2020,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple Southern Tier Region locations,Schuyler/Tompkins/Steuben/Chemung County,(607) 273-1526 ext. 2329,Family planning services,8,0,These,COVID-19,SEIU/1199,Plant Layoff
4/22/2020,Temporary Plant Layoff,"Crescent Hotels & Resorts, LLC dba Hyatt Herald Square New York","30 West 31st Street New York, NY 10018",New York County,(703) 279-7820,Hotel,21,0,3/14/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
5/1/2020,Temporary Plant Layoff,"Gemological Institute of America, Inc.","50 W. 47th Street New York, NY 10036",New York County,(917) 286-3604,"Gem Research, Education, and Laboratory",317,0,5/18/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/30/2020,Temporary Plant Layoff,Screen Actors Guild-American Federation of Television & Radio Artists (SAG-AFTRA),"1900 Broadway, 5th Floor New York, NY 10023",New York County,(323) 549-6631,Labor Union,39,0,5/15/2020,COVID-19,-----,Temporary Plant Layoff
4/6/2020,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple Mid-Hudson Region locations,Dutchess/Sullivan/Orange/Ulster County,(607) 273-1526 ext. 2329,Family planning services,29,0,These,COVID-19,SEIU/1199,Plant Layoff
4/30/2020,Temporary Plant Closing and Plant Closing,"Housing Works, Inc.","81 Willoughby Street Brooklyn, NY 11201",New York/Kings/Queens County,(718) 408-6547,Non-profit,196,0,3/27/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing and Plant Closing
4/6/2020,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple Captial Region locations,Warren/Saratoga/Schenectady County,(607) 273-1526 ext. 2329,Family planning services,22,0,These,COVID-19,SEIU/1199,Plant Layoff
4/30/2020,Plant Closing,"Ivy Rehab Network, Inc.","Central Billing Office 1377 Motor Pkwy. Islandia, NY 11749",Suffolk County,(914) 777-8700,Medical Billing,36,0,5/6/2020,COVID-19,The employees are not represented by a union,Plant Closing
4/23/2020,Temporary Plant Layoff,"Coral Graphic Services, Inc.","840 S. Broadway Hicksville, NY 11801",Nassau County,(516) 349-4362,Commercial Printing,140,0,3/23/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/29/2020,Temporary & Permanent Layoff,Enterprise Holdings,"3125 Veterans Memorial Highway Ronkonkoma, NY 11779",Suffolk County,(631) 737-9100,Car Rental,113,0,3/23/2020,COVID-19,The employees are not represented by a union,Temporary & Permanent Layoff
4/15/2020,Temporary Plant Closing,Leonard's Palazzo,"555 Northern Blvd. Great Neck, NY 11021",Nassau County,(516) 487-7900,Event Venue,218,218,3/18/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/29/2020,Temporary Plant Layoff,Enterprise Holdings,"11 Northway Lane N. Latham, NY 12111",Albany County,(518) 383-3444,Car Rental,131,0,3/23/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/24/2020,Temporary Plant Layoff,"Crescent Hotels & Resorts LLC, dba Marriott Syracuse Downtown","100 E. Onondaga St. Syracuse, NY 13202",Onondaga County,(703) 279-7820,Hotel,142,0,3/17/2020,COVID-19,"UNITEHERE Local 150, AFL-CIO",Temporary Plant Layoff
4/6/2020,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple Long Island Region locations,Nassau County,(607) 273-1526 ext. 2329,Family planning services,21,0,These,COVID-19,SEIU/1199,Plant Layoff
4/29/2020,Temporary Plant Layoff,Buffalo Niagara Convention Center Management Corporation,"153 Franklin Street Buffalo, NY 14202",Erie County,(716) 855-5559,Convention Center,35,0,3/12/2020,COVID-19,SEIU and IUOE,Temporary Plant Layoff
4/27/2020,Temporary Plant Layoff,Watertown Family YMCA,"119 Washington Street Watertown, NY 13601",Jefferson County,(315) 783-4947,Social Organization,149,0,3/15/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/29/2020,Temporary Plant Layoff,"Auburn YMCA - WEIU, Inc.","27 William Street Auburn, NY 13021",Cayuga County,(315) 253-5304 Ext,Social Organization,359,0,4/1/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/28/2020,Plant Closing,Brookset Bus Corp.,(Nine Brookset Bus Corp. locations in Long Island & Mid-Hudson),Nassau/Suffolk County,(631) 471-4600,Transportation,132,132,March,COVID-19,"Teamsters Local 1205; United Service Workers Union Local 355; International Union of Journeymen & Allied Trades, Local 726",Plant Closing
4/28/2020,Plant Closing,"Baumann & Sons Buses, Inc.","(Six Baumann & Sons Buses, Inc. locations in Long Island & Mid-Hudson)",Suffolk County,(631) 471-4600,Transportation,209,209,March,COVID-19,"Teamsters Local 1205, United Service Workers Union Local 355",Plant Closing
4/28/2020,Plant Closing,Acme Bus Corp.,(Seven Acme Bus Corp. loctions in Long Island & Mid-Hudson),Suffolk County,(631) 471-4600,Transportation,814,814,March,COVID-19,Teamsters Local 1205,Plant Closing
4/28/2020,Plant Closing,"Bauman Bus Company, Inc.","107 Lawson Boulevard Oceanside, NY 11572",Nassau County,(631) 471-4600,Transportation,222,222,March,COVID-19,Transport Workers Union Local 252,Plant Closing
4/6/2020,Plant Layoff,"Planned Parenthood of Greater New York, Inc.",Multiple New York City locations,New York/Kings/Queens/Bronx/Richmond County,(607) 273-1526 ext. 2329,Family planning services,146,0,These,COVID-19,SEIU/1199,Plant Layoff
4/29/2020,Temporary Plant Closing,Regal Cinemas,(Statewide impacted sites),New York/Kings/Queens County,(865) 925-9831,Cinemas,1004,1004,3/16/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
3/19/2020,Temporary Plant Layoff,"Maison Kayser, LLC",(16 NYC sites),New York/Kings County,(917) 207-0788,Catering,689,0,Layoffs,COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/2/2020,Temporary Plant Layoff,Hudson's Bay Company,"225 Liberty Street New York, NY 10281",New York County,(917) 763-5290,Retail,507,0,The,COVID-19,The employees are not represented by a union.,Temporary Plant Layoff
4/15/2020,Temporary Plant Layoff,"MJ Mechanical Services, Inc.","95 Pirson Parkway Tonawanda, NY 14150",Erie County,(716) 844-3613,Mechanical Contractor,44,0,3/23/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Closing,The Century Association (the Club),"7 West 43rd Street New York, NY 10036",New York County,(516) 695-3075,Social Club,81,0,3/16/2020,COVID-19,"Local 6 
Hotel, Restaurant & Club Employees & Bartenders Union, UNITE-HERE",Temporary Plant Closing
4/10/2020,"Temporary Plant 
Closing","Tiger Retail Coast, LLC dba Flying Tiger Copenhagen","424 Columbus Avenue New York, NY 10024",New York/Kings County,(212) 777-1239,Retail,64,0,3/17/2020,COVID-19,The employees are not represented by a union,"Temporary Plant 
Closing"
4/17/2020,Temporary Plant Layoff,Wolf Eastside LLC dba Wolfgang's Steakhouse,"200 East 54th Street New York, NY 10012",New York County,(646) 642-4655,Restaurant,65,0,3/19/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/18/2020,Temporary Plant Closing,"Birth of the Cool, LLC dba Eleven Madison Park","11 Madison Ave. New York, NY 10010",New Yok County,(647) 747-2612,Restaurant,178,178,3/18/2020,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
3/30/2020,Temporary Plant Layoff,RL Baxter Building Corp.,"278 Mill Street, Suite 100 Poughkeepsie, NY 12601",Dutchess County,(845) 471-1047,General Contractor,6,0,3/30/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,Araca Merchandise L.P.,"545 West 45th Street, 10th Floor New York, NY 10036",New York County,(347) 920-0080,Production Company,107,0,3/12/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/24/2020,Temporary Plant Layoff,"Able Services, Inc.","40 Sunshine Cottage Road Valhalla, NY 10595",Westchester County,(646) 998-7511,Janitorial Engineering,28,0,3/27/2020,COVID-19,"Service Employees Internation Union, Local 32BJ, International Union of Operating Engineers",Temporary Plant Layoff
4/22/2020,Plant Layoff,Equinox Holdings Inc.,"31 Hudson Yards New York, NY 10001",New York County,-----,Fitness Club,70,0,4/24/2020,COVID-19,The employees are not represented by a union,Plant Layoff
3/27/2020,Temporary Plant Layoff,"Nationwide Court Services, Inc.","20 Vesey St. Manhattan, NY 10007",New York County,(631) 981-4400 Ext,Legal Services,22,0,4/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,"Nationwide Court Services, Inc.","761 Koehler Avenue Ronkonkoma, NY 11779",Suffolk/Nassau County,(631) 981-4400 Ext,Legal Services,68,0,4/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,"HH Brown Shoe Co., Inc.","dba Super Shoes 2044 Saranac Lake Lake Placid, NY 12946",Clinton/Essex County,(203) 273-6765,Shoe Store,25,0,3/20/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,"HH Brown Shoe Co., Inc.","dba Super Shoes 1440 Central Avenue Albany, NY 12205",Albany/Warren County,(203) 273-6765,Shoe Store,36,0,3/20/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/31/2020,Temporary Plant Layoff,"HH Brown Shoe Co., Inc.","dba Super Shoes 230 Amsterdam Commons Amsterdam, NY 12010",Oneida/Montgomery County,(203) 273-6765,Shoe Store,32,0,3/20/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/3/2020,"Temporary Plant 
Layoff",New York City & Vicinity District Council of Carpenters,"395 Hudson Street, 1st Floor and 9th Floor New York, NY 10014",Queens/New York County,(917) 376-5528,Carpentry Organization,85,0,4/3/2020,COVID-19,The employees are not represented by a union,"Temporary Plant 
Layoff"
3/27/2020,Temporary Plant Closing,"LeNoble Lumber Co., Inc.","38-20 Review Avenue Long Island City, NY 11101",Queens County,(718) 784-5230,Lumber and Building Material Distribution,99,99,3/20/2020,COVID-19,"International Brotherhood of Teamsters, Local 522",Temporary Plant Closing
4/23/2020,Plant Closing,"John R. Mott, Inc.","11 Access Road Albany, NY 12205",Albany County,(518) 452-0164,Transportation Carrier,68,0,6/30/2020,COVID-19,The employees are not represented by a union,Plant Closing
4/24/2020,Plant Layoff,"Kitopi Catering Services, LLC","12 E. 33rd Street New York, NY 10016",New York County,(201) 987-6635,Food preparation and delivery services,124,0,4/23/2020,COVID-19,The employees are not represented by a union,Plant Layoff
4/20/2020,Temporary Plant Closing,Gigino at Wagner Park LLC,"20 Battery Place New York, NY 10004",New York County,(212) 431-1112,Restaurant,24,0,3/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/20/2020,Temporary Plant Layoff,Gigino Inc. dba Gigino Trattoria,"323 Greenwich Street New York, NY 10013",New York County,(212) 431-1112,Restaurant,38,0,3/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/29/2020,Temporary Plant Closing,181 Thompson Street LLC,"181 Thompson Street New York, NY 10012",New York County,-----,Restaurant,120,0,3/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Closing,Ark Museum LLC dba Robert,"2 Columbus Circle New York, NY 10019",New York County,(212) 206-8800,Restaurant,84,0,3/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Closing,Ark Bryant Park Southwest dba Fever Tree at the Porch,"41 W. 40th Street New York, NY 10018",New York County,(212) 206-8800,Outdoor Lounge/Restaurant,17,0,3/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Closing,Rio Restaurant Associates LP dba El Rio Grande,"160 E. 38th Street New York, NY 10016",New York County,(212) 206-8800,Restaurant,60,0,3/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Closing,Ark Bryant Park LLC dba Bryant Park Grill,"25 W. 40th Street New York, NY 10018",New York County,(212) 206-8800,Restaurant,157,0,3/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/30/2020,Temporary Plant Closing,Clyde Ark LLC dba Clyde Frazier's Wine and Dine,"485 10th Avenue New York, NY 10018",New York County,(212) 206-8800,Restaurant,75,0,3/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/21/2020,Temporary Plant Layoff and Plant Closing,"Doughnut Plant Management, Inc.","3100 47th Avenue, Suite 1100 Long Island City, NY 11101",Queens/Kings/New York County,(646) 220-1191,Bakery,0,0,3/17/2020,COVID-19,The employees are not represented by a union. Non Union,Temporary Plant Layoff
4/22/2020,Temporary Plant Closing,Visionworks (Capital Region),12 Capital Region locations,Albany/Saratoga/Warren/Rensselaer/Schenectady County,(833) 663-4748,Eye Care,91,91,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/15/2020,Temporary Plant Layoff,Bruce Supply Corp.,"8805 18th Avenue Brooklyn, NY 11214",Kings County,(718) 259-4900 Ext,"Plumbing, Heating, PVF, Waterworks, and Fire Protection Supplies",58,0,3/30/2020,COVID-19,"UFCW Local 888, IBT Local 282",Temporary Plant Layoff
4/15/2020,Temporary Plant Layoff,Bruce Supply Corp.,"650 West Merrick Road Valley Stream, NY 11580",Nassau County,(718) 259-4900 Ext,"Plumbing, Heating, PVF, Fire Protection, and Waterworks Supplies",15,0,3/30/2020,COVID-19,"UFCW Local 888, IBT Local 282",Temporary Plant Layoff
4/22/2020,Temporary Plant Closing,Visionworks (North Country Region),3 North Country Region locations,Jefferson/St. Lawrence/Clinton County,(833) 663-4748,Eye Care,18,18,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,Temporary Plant Closing,Visionworks (Southern Region),7 Southern Region locations,Broome/Chemung/Tompkins/Chenango/Otsego/Steuben County,(833) 663-4748,Eye Care,47,47,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,Temporary Plant Closing,Visionworks (New York City Region),7 New York City Region locations,Queens/Bronx/Kings/Richmond County,(833) 663-4748,Eye Care,49,49,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,Temporary Plant Closing,Visionworks (Mohawk Valley Region),5 Mohawk Valley Region locations,Oneida/Montgomery/Madison County,(833) 663-4748,Eye Care,41,41,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,Temporary Plant Closing,Visionworks (Finger Lakes Region),7 Finger Lakes Region locations,Monroe/Genesee County,(833) 663-4748,Eye Care,44,44,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,Temporary Plant Closing,Visionworks (Long Island Region),20 Long Island Region locations,Suffolk/Nassau County,(833) 663-4748,Eye Care,210,210,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,Temporary Plant Closing,Visionworks (Mid-Hudson Region),5 Mid-Hudson Region locations,Westchester/Rockland/Ulster/Dutchess County,(833) 663-4748,Eye Care,34,34,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,Temporary Plant Closing,Visionworks (Central Region),12 Central Region locations,Onondaga/Cortland/Oswego/Cayuga County,(833) 663-4748,Eye Care,74,74,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/22/2020,Temporary Plant Closing,Visionworks (Western Region),7 Western Region locations,Erie/Niagara County,(833) 663-4748,Eye Care,40,40,4/4/2020,COVID-19,lUE/CWA Local 81408,Temporary Plant Closing
4/23/2020,Temporary Plant Layoff,"EFCO Products, Inc.","130 Smith Street Poughkeepsie, NY 12601",Dutchess County,(845) 452-4715 Ext,Manufacturing,16,0,4/8/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/22/2020,Temporary Plant Closing,YMCA of Greater New York (New York YMCA Camp),"160 Big Pond Road Huguenot, NY 12746",Orange County,(212) 630-9614,Day Camp,61,61,4/22/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"Shake Shack Enterprises, LLC dba Woodbury Commons Shake Shack","199 Niagra Lane Central Valley, NY 10917",Orange County,(480) 201-7199,Restaurant,62,62,3/19/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/17/2020,Temporary Plant Closing,"Shake Shack Enterprises, LLC dba Hudson Yards Shake Shack","20 Hudson Yards New York, NY 10001",New York County,(480) 201-7199,Restaurant,40,40,3/17/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
4/20/2020,Temporary Plant Layoff,Joint Billion New York LLC,"JFK International Airport, Terminal 4, Room 126.001 Jamaica, NY 11430",Queens County,(646) 218-7513,Airline Services,48,0,3/24/2020,COVID-19,"IAM District 15, Local Lodge 447",Temporary Plant Layoff
4/21/2020,Temporary Plant Layoff,"NYY Steak, LLC","7 West 51st Street New York, NY 10019",New York County,(954) 797-5478,Restaurant,49,0,4/13/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/21/2020,Temporary Plant Layoff,Hard Rock Café New York,"1501 Broadway New York, NY 10036",New York County,(954) 797-5478,Restaurant,456,0,4/13/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/8/2020,Temporary Plant Layoff,Morris Heights Health Center,"85 W. Burnside Ave. Bronx, NY 10453",Bronx County,(718) 716-4400 Ext,Healthcare Center,133,0,4/10/2020,COVID-19,SEIU 1199 Healthcare Workers East,Temporary Plant Layoff
4/21/2020,Temporary Plant Layoff,"Hard Rock Stadium Tenant, Inc., Hard Rock Café Yankees Stadium","1 East 161st Street, 1st Floor Bronx, NY 10461",Bronx County,(954) 797-5478,Restaurant,64,0,4/13/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/20/2020,Temporary Plant Layoff,"Audio Command Systems, Inc.","694 Main Street Westbury, NY 11590",Nassau County,(516) 997-5800,Home automation,70,0,3/27/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
3/27/2020,Temporary Plant Layoff,Production Glue LLC & Department of Events LLC,"252 W. 37th Street, Floor 7 New York, NY 10018",New York County,(917) 304-3124,Event Company,25,0,3/27/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/21/2020,Temporary Plant Layoff,"Hard Rock Café International USA, Inc., Hard Rock Café Niagara Falls","333 Prospect St. Niagara Falls, NY 14303",Niagara County,(954) 797-5478,Restaurant,58,0,4/13/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/16/2020,Temporary Plant Layoff,Allied Aviation Services Inc.,"266 West 37th Street, 3rd Floor, Suite 302 New York, NY 10018",New York County,(626) 318-4120,Airline Services,2,0,4/16/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
4/13/2020,Temporary Plant Closing,Bed Bath & Beyond (Capital Region),"Store #7019, 1425 Central Ave, Unit 242 Albany, NY 12205",Albany County,(908) 855-4563,Miscellaneous Home Furnishings Store,116,1893,Furloughs,COVID-19,The employees are not represented by a union.,Temporary Plant Closing
4/20/2020,Temporary Plant Layoff,Enterprise Holdings dba National and Alamo Rental Car,"743 Broadway New York, NY 10003",New York/Queens County,(929) 372-7860,Rental Car,74,0,4/3/2020,COVID-19,"United Construction Trades and Industrial Employees Union, Garage Employees Local Union 272-IBT",Temporary Plant Layoff
4/8/2020,Temporary Plant Closing,Westbury Manor Enterprises Inc.,"1100 Jericho Turnpike Westbury, NY 11590",Nassau County,(516) 333-7117,Restaurant,119,119,3/22/2020,COVID-19,The employees are not represented by a union,Temporary Plant Closing
3/27/2020,Temporary Plant Layoff,Fred Smith Plumbing & Heating,"1674 First Avenue New York, NY 10128",New York County,(212) 744-1300,Plumbing and Heating,74,0,3/23/2020,COVID-19,The employees are not represented by a union,Temporary Plant Layoff
